         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
                2475             -4.58828              -8.6913            -0.310586 
                2450             -4.69046             -9.00402            -0.625422 
                2425             -4.50968             -8.78408            -0.736263 
                2400             -4.60807             -9.27991            -0.360224 
                2375             -4.63474              -8.9427            -0.651907 
                2350             -4.67573             -9.20739            -0.288717 
                2325             -4.51364             -8.92391            -0.410174 
                2300             -4.66226             -9.15309            -0.158773 
                2275             -4.75496             -9.05586            -0.639637 
                2250              -4.6482             -9.07377            -0.267351 
                2225             -4.47812             -8.65494            -0.355133 
                2200             -4.62217             -9.28394            -0.571179 
                2175             -4.37155             -8.43182            -0.244499 
                2150              -4.1024             -8.10882             0.186362 
                2125             -3.64094             -7.70805             0.819038 
                2100             -3.04963             -7.28932              1.19962 
                2075             -2.43908             -6.95462               1.3057 
                2050               -1.633             -5.61241              2.59657 
                2025            -0.559694             -5.06849              3.89742 
                2000             0.262783             -4.07121              4.70882 
                1975             0.920006             -2.95397              4.77968 
                1950              1.45326             -2.55099              5.49021 
                1925              1.52863             -2.44768              5.74151 
                1900              1.64582             -2.61842              5.93802 
                1875              1.68749             -2.29464              5.64561 
                1850              1.80295             -2.52466              5.72193 
                1825              2.16986             -1.80087              6.23715 
                1800              2.61598             -1.51341               7.1911 
                1775              2.95523             -1.19361              8.26163 
                1750              3.01977             -1.27156              8.27612 
                1725              2.56513             -1.34496              7.43317 
                1700             -0.39304             -3.97176              2.80278 
                1675             -3.02252             -7.77623              1.07238 
                1650             -2.82337             -7.56885              1.37246 
                1625              -2.8027             -6.78294               1.0909 
                1600             -2.66302             -6.54209             0.763257 
                1575             -2.52304             -6.27368              1.04494 
                1550             -2.33545             -5.93543             0.889028 
                1525              -2.0396             -5.32947              1.10719 
                1500             -1.66744             -4.82875              1.13304 
                1475              -1.5851             -4.41446              1.36716 
                1450             -1.46318             -4.23511              1.24414 
                1425             -1.36685             -3.84098              1.12722 
                1400             -1.30661             -4.05309              1.55077 
                1375             -1.20096             -3.89998              1.68913 
                1350             -1.17804             -3.92643              1.71235 
                1325              -1.1917             -4.22261              1.64864 
                1300             -1.28507             -4.38646              1.57415 
                1275             -1.12194             -3.86824              1.49489 
                1250              -1.1384             -4.41419              1.88281 
                1225             -1.21351             -4.21863              2.17768 
                1200             -1.20128             -4.33944              1.81246 
                1175             -1.27641              -4.2301              1.80334 
                1150             -1.19563             -4.38811              1.74301 
                1125             -1.15843             -4.24631              2.26676 
                1100             -1.09847             -4.64186              2.46937 
                1075             -1.25934             -4.42886              2.40875 
                1050              -1.1864             -4.36615              2.34014 
                1025             -1.11122             -4.65387              2.14735 
                1000             -1.20636             -4.57205              2.24737 
                 975             -1.14461             -4.30281              1.93246 
                 950              -1.1545             -4.39958               1.9159 
                 925             -1.13861             -4.25851              2.25699 
                 900              -1.1892             -4.53796              2.11437 
                 875             -1.27212             -4.53228              1.94999 
                 850             -1.24062             -4.50595              2.16248 
                 825             -1.03346             -4.03117              2.18567 
                 800             -1.09772             -4.18966              1.89661 
                 775              -1.1585             -4.10563              1.84384 
                 750               -1.261             -3.76879               1.6608 
                 725             -1.26749             -3.74772               1.3825 
                 700             -1.21398             -3.71892              1.48088 
                 675             -1.30431             -3.73229              1.20401 
                 650              -1.3413             -3.30267              1.14723 
                 625              -1.2441             -3.12438               1.0229 
                 600            -0.905598             -2.65946             0.896206 
                 575            -0.576731             -2.32512              1.31966 
                 550            -0.529819             -2.47639               1.4733 
                 525             -0.62483             -2.43011              1.31664 
                 500            -0.496733             -2.22884              1.36745 
                 475            -0.574304              -2.1999              1.32559 
                 450            -0.524362             -2.30297              1.57668 
